2024-12-28 15:36:25 | INFO | Запрос к настройкам приложения
2024-12-28 15:36:48 | INFO | Запрос к биографии Наполеона
2024-12-28 15:36:58 | INFO | Запрос к счетчику посещений
2024-12-28 15:36:58 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:37:17 | INFO | Запрос на сброс счетчика посещений
2024-12-28 15:37:17 | DEBUG | Счетчик посещений сброшен
2024-12-28 15:37:27 | INFO | Запрос к счетчику посещений
2024-12-28 15:37:27 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:39:02 | INFO | Запрос к настройкам приложения
2024-12-28 15:39:40 | INFO | Запрос к журналу логов
2024-12-28 15:39:40 | ERROR | Ошибка чтения лог-файла: logs.txt
2024-12-28 15:41:27 | INFO | Запрос к счетчику посещений
2024-12-28 16:43:22.978 | INFO | http-nio-8080-exec-114 | [2024-12-28 16:43:22] Обработка запроса завершена за 2 мс
2024-12-28 16:43:29.452 | INFO | http-nio-8080-exec-115 | Запрос к журналу логов
2024-12-28 16:43:29.471 | INFO | http-nio-8080-exec-115 | Журнал логов успешно отображен
2024-12-28 16:44:28.737 | INFO | http-nio-8080-exec-122 | Запрос к настройкам приложения
2024-12-28 16:49:46.214 | INFO | http-nio-8080-exec-120 | Запрос к настройкам приложения [2024-12-28T16:49:46.2100125] с IP 0:0:0:0:0:0:0:1
2024-12-28 16:49:46.214 | INFO | http-nio-8080-exec-120 | Страница настроек успешно сформирована
2024-12-28 16:58:54.023 | SERVLET_INIT | http-nio-8080-exec-131 | Инициализация сервлета: SettingsServlet
2024-12-28 16:58:54.024 | SERVLET_REQUEST | http-nio-8080-exec-131 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 16:58:54.025 | INFO | http-nio-8080-exec-131 | Страница настроек успешно сформирована
2024-12-28 16:58:58.989 | SERVLET_REQUEST | http-nio-8080-exec-126 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 16:58:58.990 | INFO | http-nio-8080-exec-126 | Страница настроек успешно сформирована
2024-12-28 16:59:03.711 | SERVLET_REQUEST | http-nio-8080-exec-130 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 16:59:03.711 | INFO | http-nio-8080-exec-130 | Страница настроек успешно сформирована
2024-12-28 16:59:12.093 | INFO | http-nio-8080-exec-125 | Запрос к счетчику посещений
2024-12-28 16:59:12.109 | DEBUG | http-nio-8080-exec-125 | Текущее количество посещений: 1
2024-12-28 16:59:18.332 | INFO | http-nio-8080-exec-124 | [2024-12-28 16:59:18] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 16:59:18.334 | DEBUG | http-nio-8080-exec-124 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 16:59:18.338 | DEBUG | http-nio-8080-exec-124 | Размер файла биографии: 4607 байт
2024-12-28 16:59:18.339 | INFO | http-nio-8080-exec-124 | Контент биографии успешно модифицирован
2024-12-28 16:59:18.340 | INFO | http-nio-8080-exec-124 | [2024-12-28 16:59:18] Обработка запроса завершена за 6 мс
2024-12-28 16:59:20.491 | INFO | http-nio-8080-exec-129 | [2024-12-28 16:59:20] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
